"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",SETUP_ERROR
"#0",0.005594
"#1",0.003155
"#2",0.003533
"#3",0.003008
"#4",0.005632
"#5",0.002985
"#6",0.009950
"#7",0.004917
"#8",0.004536
"#9",0.004376
"#10",0.003349
"#11",0.006660
"#12",0.005834
"#13",0.005529
"#14",0.004075
"#15",0.004144
"#16",0.002894
"#17",0.003002
"#18",0.003457
"#19",0.003689
"#20",0.004043
"#21",0.003410
"#22",0.003156
"#23",0.003700
"#24",0.005348
"#25",0.003814
"#26",0.007003
"#27",0.005754
"#28",0.006770
"#29",0.004308
"#30",0.004921
"#31",0.004917
"#32",0.004381
"#33",0.003785
"#34",0.003813
"#35",0.002849
"#36",0.004447
"#37",0.003224
"#38",0.003567
"#39",0.002987
"#40",0.003324
"#41",0.003419
"#42",0.004735
"#43",0.003651
"#44",0.003163
"#45",0.007723
"#46",0.003130
"#47",0.003825
"#48",0.008018
"#49",0.004696
"#50",0.005145
"#51",0.004333
"#52",0.003613
"#53",0.003636
"#54",0.005812
"#55",0.004317
"#56",0.004390
"#57",0.006161
"#58",0.002852
"#59",0.002909
"#60",0.003926
"#61",0.003782
"#62",0.003097
"#63",0.003981
"#64",0.004217
"#65",0.004230
"#66",0.004623
"#67",0.003445
"#68",0.003468
"#69",0.007888
"#70",0.009609
"#71",0.005126
"#72",0.002915
"#73",0.003178
"#74",0.004337
"#75",0.007744
"#76",0.004628
"#77",0.005932
"#78",0.002884
"#79",0.003177
"#80",0.003881
"#81",0.004038
"#82",0.006152
"#83",0.003273
"#84",0.004749
"#85",0.005743
"#86",0.003744
"#87",0.004303
"#88",0.009450
"#89",0.006170
"#90",0.005074
"#91",0.003543
"#92",0.005154
"#93",0.006524
"#94",0.005509
"#95",0.004652
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",SETUP_ERROR
"#96",0.004986
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
"#97",SETUP_ERROR
